FID,the_geom,id_healthF,nmHsp_mya,nmHsp_eng,lvlHsp_mya,lvlHsp_eng,bedClass,SR_PCODE,SR_mya,SR,DT_PCODE,DT,TS_PCODE,TS_mya,TS_en,SELF_ADMIN,comment,accuraConf
health_facilities_myanmar2020_v20241016.393,POINT (95.16209100000003 18.719734000000074),hsp_0394,ပန်းတောင်းမြို့နယ်ဆေးရုံ,Padaung Township Hospital,မြို့နယ်,Township,25,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D001,Pyay,MMR008003,ပန်းတောင်း,Padaung,,,high confidence
health_facilities_myanmar2020_v20241016.394,POINT (95.08198400000003 18.51434400000005),hsp_0395,ထုံးဘိုတိုက်နယ်ဆေးရုံ,Htone Bo Station Hospital,တိုက်နယ်,Station,16,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D001,Pyay,MMR008003,ပန်းတောင်း,Padaung,,,high confidence
health_facilities_myanmar2020_v20241016.395,POINT (94.99904900000007 18.772143000000028),hsp_0396,ဇရပ်လှတိုက်နယ်ဆေးရုံ,Zayet Hla Station Hospital,တိုက်နယ်,Station,16,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D001,Pyay,MMR008003,ပန်းတောင်း,Padaung,,,high confidence
health_facilities_myanmar2020_v20241016.396,POINT (95.01380200000006 18.684348000000057),hsp_0397,ဥသျှစ်ပင်တိုက်နယ်ဆေးရုံ,U Shit Pin Station Hospital,တိုက်နယ်,Station,25,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D001,Pyay,MMR008003,ပန်းတောင်း,Padaung,,,high confidence
health_facilities_myanmar2020_v20241016.397,POINT (95.50218500000005 18.482825000000048),hsp_0398,ပေါင်းတည်မြို့နယ်ဆေးရုံ,Paungde Township Hospital,မြို့နယ်,Township,50,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D001,Pyay,MMR008004,ပေါင်းတည်,Paungde,,,high confidence
health_facilities_myanmar2020_v20241016.398,POINT (95.53238300000004 18.58675500000004),hsp_0399,မှတ်တိုင်တိုက်နယ်ဆေးရုံ,Hmat Taing Station Hospital,တိုက်နယ်,Station,16,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D001,Pyay,MMR008004,ပေါင်းတည်,Paungde,,,high confidence
health_facilities_myanmar2020_v20241016.399,POINT (95.62800000000004 18.540151000000037),hsp_0400,ကြာနီကန်တိုက်နယ်ဆေးရုံ,Kyar Ni Kan Station Hospital,တိုက်နယ်,Station,16,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D001,Pyay,MMR008004,ပေါင်းတည်,Paungde,,,high confidence
health_facilities_myanmar2020_v20241016.400,POINT (95.41725000000008 18.644030000000043),hsp_0401,သဲကုန်းမြို့နယ်ဆေးရုံ,Thegon Township Hospital,မြို့နယ်,Township,25,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D001,Pyay,MMR008005,သဲကုန်း,Thegon,,,high confidence
health_facilities_myanmar2020_v20241016.401,POINT (95.33225000000004 18.53428400000007),hsp_0402,အင်းမတိုက်နယ်ဆေးရုံ,Inma Station Hospital,တိုက်နယ်,Station,16,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D001,Pyay,MMR008005,သဲကုန်း,Thegon,,,high confidence
health_facilities_myanmar2020_v20241016.402,POINT (95.45685300000008 18.565774000000033),hsp_0403,ပုတီးကုန်းတိုက်နယ်ဆေးရုံ,Pu Tee Kone Station Hospital,တိုက်နယ်,Station,16,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D001,Pyay,MMR008005,သဲကုန်း,Thegon,,,high confidence
